city,diesel,petrol,Petrol-Diesel Gap,Petrol Price Rank,Price Tier
Rajkot,90.54,94.85,4.31,600,Low
Rajnandgaon,94.16,101.23,7.07,340,High
Rajouri,82.72,96.98,14.26,484,Moderate
Rajsamand,90.93,105.51,14.58,170,Very High
Ramanagara,89.32,103.27,13.95,256,High
Ramanathapuram,93.47,101.86,8.39,306,High
Ramban,83.04,97.51,14.47,463,Moderate
Ramgarh,93.18,98.42,5.24,431,Moderate
Rampur,87.92,94.79,6.87,607,Low
Ranchi,92.62,97.86,5.24,452,Moderate
Rangareddi,96.17,107.96,11.79,47,Very High
Ratlam,92.27,106.93,14.66,92,Very High
Ratnagiri,92.03,105.5,13.47,175,High
Rayagada,94.2,102.62,8.42,277,High
Reasi,82.35,96.79,14.44,490,Moderate
Rewa,93.4,108.0,14.6,36,Very High
Rewari,87.56,94.73,7.17,626,Low
Ri Bhoi,85.81,94.34,8.53,654,Low
Rohtak,88.13,95.3,7.17,557,Low
Rohtas,93.53,106.76,13.23,100,Very High
Rudraprayag,89.39,94.52,5.13,646,Low
Rupnagar,88.11,97.62,9.51,455,Moderate
Sabar Kantha,91.45,95.77,4.32,515,Moderate
Sagar,92.02,106.66,14.64,106,Very High
Saharanpur,88.59,95.43,6.84,545,Low
Saharsa,92.75,105.96,13.21,153,Very High
Sahibganj,94.08,99.36,5.28,392,Moderate
Saiha,88.47,99.37,10.9,391,Moderate
Salem,93.65,102.06,8.41,299,High
Samastipur,92.37,105.55,13.18,168,Very High
Samba,81.32,95.48,14.16,540,Low
Sambalpur,93.34,101.77,8.43,315,High
Sambhal,88.01,94.87,6.86,597,Low
Sangareddy,95.94,107.72,11.78,55,Very High
Sangli,90.59,104.02,13.43,241,High
Sangrur,87.19,96.69,9.5,493,Moderate
Sant Kabir Nagar,88.14,94.98,6.84,585,Low
Sant Ravi Nagar,88.31,95.13,6.82,567,Low
Saraikela Kharasawan,92.55,97.8,5.25,454,Moderate
Saran,92.85,106.04,13.19,148,Very High
Sas Nagar,88.35,97.88,9.53,450,Moderate
Satara,91.62,105.13,13.51,202,High
Satna,93.4,108.0,14.6,36,Very High
Sawaimadhopur,91.3,105.96,14.66,153,Very High
Sehore,91.82,106.44,14.62,118,Very High
Senapati,86.14,100.17,14.03,364,Moderate
Seoni,92.63,107.3,14.67,68,Very High
Sepahijhala,86.83,97.83,11.0,453,Moderate
Serchhip,88.51,99.45,10.94,387,Moderate
Sewan,93.25,106.46,13.21,117,Very High
Shahdol,93.39,107.99,14.6,45,Very High
Shahjahanpur,87.94,94.8,6.86,605,Low
Shajapur,92.85,107.54,14.69,60,Very High
Shamli,88.05,94.91,6.86,592,Low
Shd Bhagat Singh Ngr,87.89,97.39,9.5,471,Moderate
Sheikhpura,93.1,106.31,13.21,124,Very High
Sheohar,93.31,106.55,13.24,112,Very High
Sheopur,93.4,108.0,14.6,36,Very High
Shimla,86.94,94.65,7.71,638,Low
Shimoga,89.91,103.97,14.06,244,High
Shivpuri,93.41,108.0,14.59,36,Very High
Shopian,83.29,97.44,14.15,469,Moderate
Shravasti,88.55,95.36,6.81,552,Low
Sibsagar,90.65,99.46,8.81,385,Moderate
Siddipet,95.51,107.27,11.76,70,Very High
Sidharthnagar,88.8,95.65,6.85,523,Low
Sidhi,93.4,108.0,14.6,36,Very High
Sikar,90.96,105.55,14.59,168,Very High
Simdega,93.61,98.86,5.25,415,Moderate
Sindhudurg,92.03,105.5,13.47,175,High
Singrauli,92.14,106.74,14.6,101,Very High
Sirmaur,86.76,94.43,7.67,650,Low
Sirohi,91.73,106.21,14.48,133,Very High
Sirsa,89.02,96.21,7.19,502,Moderate
Sitamarhi,93.57,106.83,13.26,98,Very High
Sitapur,88.73,95.58,6.85,527,Low
Sivaganga,93.61,102.0,8.39,301,High
Solan,86.61,94.28,7.67,661,Low
Solapur,91.0,104.46,13.46,226,High
Sonapur,94.11,102.57,8.46,280,High
Sonbhadra,88.51,95.32,6.81,554,Low
Sonipat,87.72,94.88,7.16,596,Low
Sonitpur,89.87,98.62,8.75,423,Moderate
South 24 Parganas,92.27,105.49,13.22,181,High
South Andaman,78.05,82.46,4.41,695,Low
South Delhi,87.67,94.77,7.1,614,Low
South District,89.0,101.75,12.75,317,High
South East Delhi,87.67,94.77,7.1,614,Low
South Garo Hills,87.28,95.82,8.54,513,Moderate
South Goa,88.2,96.43,8.23,496,Moderate
South Tripura,87.1,97.97,10.87,447,Moderate
South West Delhi,87.67,94.77,7.1,614,Low
Southwest Khasi Hils,87.81,96.33,8.52,497,Moderate
Srikakulam,97.14,109.33,12.19,9,Very High
Srinagar,84.88,99.7,14.82,373,Moderate
Sukma,95.06,102.09,7.03,295,High
Sultanpur,89.16,96.17,7.01,503,Moderate
Sundargarh,93.75,102.19,8.44,291,High
Supaul,93.18,106.42,13.24,120,Very High
Surajpur,94.01,101.07,7.06,349,Moderate
Surat,90.75,95.05,4.3,574,Low
Surendranagar,90.86,95.19,4.33,563,Low
Surguja,94.51,101.58,7.07,325,High
Suryapet,95.46,107.22,11.76,71,Very High
Tamenglong,86.55,100.63,14.08,357,Moderate
Tapi,90.68,94.99,4.31,582,Low
Tarn Taran,88.02,97.53,9.51,461,Moderate
Tawang,82.13,92.54,10.41,686,Low
Tehri Garhwal,89.28,94.31,5.03,658,Low
Tengnoupal,86.1,100.13,14.03,366,Moderate
Teni,93.53,101.93,8.4,302,High
Thane,90.86,104.37,13.51,230,High
Thanjavur,93.39,101.78,8.39,313,High
The Dangs,91.01,95.32,4.31,554,Low
Thiruvananthapuram,96.28,107.4,11.12,65,Very High
Thiruvarur,93.69,102.1,8.41,294,High
Thoubal,85.43,99.39,13.96,390,Moderate
Thrissur,94.75,105.77,11.02,162,Very High
Tikamgarh,92.63,107.34,14.71,67,Very High
Tinsukia,89.38,98.16,8.78,445,Moderate
Tirap,82.1,92.48,10.38,687,Low
Tiruchchirappalli,92.88,101.26,8.38,339,High
Tirunelveli,93.01,101.37,8.36,335,High
Tirupur,93.37,101.78,8.41,313,High
Tiruvallur,92.89,101.32,8.43,337,High
Tiruvannamalai,94.09,102.55,8.46,281,High
Tonk,91.24,105.86,14.62,158,Very High
Tuensang,89.71,98.26,8.55,436,Moderate
Tumkur,89.96,103.98,14.02,243,High
Tuticorin,93.15,101.54,8.39,326,High
Udaipur,91.73,106.21,14.48,133,Very High
Udalguri,90.08,98.88,8.8,413,Moderate
Udham Singh Nagar,88.03,93.11,5.08,674,Low
Udhampur,82.27,96.7,14.43,491,Moderate
Udupi,88.49,102.41,13.92,284,High
Ujjain,92.35,106.99,14.64,83,Very High
Ukhrul,85.94,99.95,14.01,371,Moderate
Umaria,93.4,108.0,14.6,36,Very High
Una,85.62,93.25,7.63,673,Low
Unakoti,85.2,96.08,10.88,506,Moderate
Unnao,87.8,94.68,6.88,634,Low
Upper Siang,82.03,92.38,10.35,689,Low
Upper Sibansiri,82.18,92.62,10.44,684,Low
Uttar Dinajpur,92.28,105.51,13.23,170,Very High
Uttar Kannad,89.9,103.96,14.06,245,High
Uttarkashi,89.39,94.46,5.07,649,Low
Vadodara,89.82,94.15,4.33,664,Low
Vaishali,92.55,105.74,13.19,164,Very High
Valsad,90.96,95.26,4.3,559,Low
Varanasi,88.78,95.62,6.84,524,Low
Vellore,94.39,102.8,8.41,264,High
Vidisha,92.23,106.91,14.68,93,Very High
Vikarabad,96.76,108.59,11.83,23,Very High
