city,diesel,petrol,Petrol-Diesel Gap,Petrol Price Rank,Price Tier
Gumla,93.67,98.92,5.25,409,Moderate
Guna,93.17,107.94,14.77,49,Very High
Guntur,97.59,109.75,12.16,4,Very High
Gurdaspur,87.98,97.48,9.5,466,Moderate
Gurgaon,87.82,94.96,7.14,586,Low
Gwalior,92.51,107.19,14.68,72,Very High
Hailakandi,90.16,98.91,8.75,410,Moderate
Hamirpur,86.09,93.75,7.66,667,Low
Hanumangarh,91.72,106.2,14.48,139,Very High
Hapur,87.8,94.7,6.9,629,Low
Harda,92.08,106.72,14.64,102,Very High
Hardoi,88.4,95.22,6.82,561,Low
Haridwar,87.63,92.78,5.15,676,Low
Hassan,89.21,103.36,14.15,253,High
Hathras,87.57,94.51,6.94,647,Low
Haveri,89.44,103.38,13.94,252,High
Hazaribagh,93.62,98.87,5.25,414,Moderate
Hingoli,92.03,105.5,13.47,175,High
Hisar,88.51,95.68,7.17,522,Moderate
Hojai,90.35,99.12,8.77,400,Moderate
Hooghly,92.33,105.56,13.23,167,Very High
Hoshangabad,91.99,106.62,14.63,109,Very High
Hoshiarpur,87.68,97.17,9.49,476,Moderate
Howrah,92.02,105.23,13.21,198,High
Hyderabad,95.7,107.46,11.76,62,Very High
Idukki,96.33,107.61,11.28,57,Very High
Indore,91.81,106.41,14.6,121,Very High
Jabalpur,92.18,106.81,14.63,99,Very High
Jagatsinghpur,92.2,100.63,8.43,357,Moderate
Jagitial,96.21,108.02,11.81,29,Very High
Jahanabad,92.47,105.64,13.17,165,Very High
Jahbua,92.25,106.9,14.65,94,Very High
Jaipur,90.53,105.07,14.54,203,High
Jaisalmer,91.7,106.21,14.51,133,Very High
Jajpur,92.97,101.42,8.45,332,High
Jalandhar,87.38,96.87,9.49,489,Moderate
Jalaun,88.2,95.05,6.85,574,Low
Jalgaon,90.67,104.12,13.45,236,High
Jalna,92.03,105.5,13.47,175,High
Jalor,91.73,106.21,14.48,133,Very High
Jalpaiguri,92.01,105.23,13.22,198,High
Jammu,81.32,95.48,14.16,540,Low
Jamnagar,90.06,94.39,4.33,651,Low
Jamtara,93.16,98.44,5.28,430,Moderate
Jamui,93.45,106.71,13.26,103,Very High
Jangaon,95.79,107.57,11.78,58,Very High
Janjgir,93.56,100.61,7.05,359,Moderate
Jashpur,94.61,101.67,7.06,323,High
Jaunpur,88.97,95.82,6.85,513,Moderate
Jayashankar Bhupalpa,95.38,107.13,11.75,75,Very High
Jhajjar,88.13,95.28,7.15,558,Low
Jhalawar,90.7,105.28,14.58,194,High
Jhansi,88.16,95.01,6.85,579,Low
Jhargram,92.55,105.83,13.28,159,Very High
Jharsuguda,92.72,101.13,8.41,346,High
Jhunjhunun,91.73,106.2,14.47,139,Very High
Jind,88.14,95.31,7.17,556,Low
Jiribam,87.09,101.15,14.06,344,High
Jodhpur,90.12,104.61,14.49,222,High
Jogulamba Gadwal,97.1,108.83,11.73,15,Very High
Jorhat,90.11,98.9,8.79,412,Moderate
Junagadh,91.21,95.52,4.31,531,Low
Kaimur,93.72,106.94,13.22,88,Very High
Kaithal,87.74,94.9,7.16,593,Low
Kakching,85.54,99.51,13.97,384,Moderate
Kalahandi,94.2,102.62,8.42,277,High
Kalimpong,91.76,104.95,13.19,211,High
Kamareddy,96.67,108.52,11.85,24,Very High
Kamrup,89.68,98.46,8.78,429,Moderate
Kamrup Metro,89.42,98.19,8.77,441,Moderate
Kanchipuram,93.11,101.54,8.43,326,High
Kandhamal,94.2,102.63,8.43,271,High
Kangpokpi,85.59,99.57,13.98,381,Moderate
Kangra,86.07,93.7,7.63,668,Low
Kanker,94.83,101.91,7.08,303,High
Kanniyakumari,93.42,101.8,8.38,312,High
Kannuaj,88.51,95.34,6.83,553,Low
Kannur,94.9,105.9,11.0,156,Very High
Kanpur Rural,87.65,94.56,6.91,642,Low
Kanpur Urban,87.78,94.67,6.89,636,Low
Kapurthala,87.42,96.9,9.48,487,Moderate
Karaikal,86.31,96.03,9.72,508,Moderate
Karauli,90.43,104.99,14.56,209,High
Karbi Anglong,90.22,98.99,8.77,405,Moderate
Karim Nagar,95.38,107.13,11.75,75,Very High
Karimganj,90.44,99.2,8.76,396,Moderate
Karnal,87.54,94.72,7.18,628,Low
Karur,93.28,101.68,8.4,321,High
Kasaragod,95.58,106.63,11.05,107,Very High
Kashi Ram Nagar,88.13,94.99,6.86,582,Low
Kathua,81.75,95.94,14.19,510,Moderate
Katihar,93.75,106.94,13.19,88,Very High
Katni,92.88,107.57,14.69,58,Very High
Kaushambi,88.07,94.9,6.83,593,Low
Kawardha,94.53,101.6,7.07,324,High
Kendrapara,92.75,101.2,8.45,342,High
Keonjhar,93.88,102.37,8.49,285,High
Khagaria,92.28,105.45,13.17,187,High
Khammam,96.83,108.7,11.87,20,Very High
Khandwa,93.4,108.0,14.6,36,Very High
Khargone,93.23,107.96,14.73,47,Very High
Kheda,90.42,94.74,4.32,623,Low
Khordha,92.69,101.11,8.42,347,High
Khowai,86.15,97.1,10.95,478,Moderate
Khunti,92.69,97.92,5.23,449,Moderate
Kinnaur,87.25,94.77,7.52,614,Low
Kiphere,89.98,98.66,8.68,421,Moderate
Kishanganj,93.79,106.94,13.15,88,Very High
Kishtwar,83.34,97.5,14.16,465,Moderate
Kodagu,90.09,104.08,13.99,237,High
Koderma,93.41,98.7,5.29,419,Moderate
Kohima,88.24,96.9,8.66,487,Moderate
Kokrajhar,89.6,98.38,8.78,432,Moderate
Kolar,89.12,103.06,13.94,260,High
Kolasib,86.62,97.61,10.99,456,Moderate
Kolhapur,90.99,104.44,13.45,228,High
Kolkata,91.82,105.01,13.19,207,High
Kollam,96.0,107.1,11.1,77,Very High
Komram Bheem Asifaba,97.1,108.83,11.73,15,Very High
Kondagaon,94.76,101.83,7.07,309,High
Koppal,90.06,104.05,13.99,238,High
Koraput,94.19,102.63,8.44,271,High
Korba,93.33,100.38,7.05,362,Moderate
Koria,94.76,101.83,7.07,309,High
Kota,90.25,104.78,14.53,220,High
Kottayam,94.86,105.88,11.02,157,Very High
Kozhikode,94.78,105.78,11.0,161,Very High
Krishna,97.33,109.47,12.14,7,Very High
Krishnagiri,93.89,102.3,8.41,287,High
Kulgam,83.38,97.56,14.18,460,Moderate
Kullu,87.32,94.89,7.57,595,Low
Kupwara,85.48,100.38,14.9,362,Moderate
Kurnool,97.44,109.6,12.16,5,Very High
Kurukshetra,88.24,95.4,7.16,546,Low
Kushinagar,88.01,94.87,6.86,597,Low
Kutch,89.99,94.32,4.33,656,Low
Lahul Spiti,86.97,94.34,7.37,654,Low
Lakhimpur,91.2,100.0,8.8,370,Moderate
Lalitpur,88.66,95.51,6.85,534,Low
Latehar,93.85,99.1,5.25,401,Moderate
Latur,92.03,105.5,13.47,175,High
Lawngtlai,88.52,99.46,10.94,385,Moderate
Lohardaga,93.5,98.75,5.25,418,Moderate
Lohit,82.2,92.66,10.46,680,Low
Longding,82.08,92.65,10.57,683,Low
Longleng,89.92,98.58,8.66,424,Moderate
Lower Dibang Valley,82.14,92.55,10.41,685,Low
Lower Subansiri,81.21,91.93,10.72,692,Low
Luckeesarai,92.8,106.01,13.21,150,Very High
Lucknow,87.81,94.69,6.88,631,Low
Ludhiana,87.76,97.27,9.51,474,Moderate
Lunglei,88.49,99.4,10.91,389,Moderate
Madhepura,93.04,106.27,13.23,128,Very High
Madhubani,93.33,106.57,13.24,111,Very High
